Police Boundary,Date,Boundary_Class,Victimisations,victim_pct_change,Year,District_Police_Num,police_pct_change,hlc_index_amt_mean,hlc_index_amt_min,hlc_index_amt_max,shifted,hlc_change,hlc_pct_change,Unemployment rate (%),UR_pct_change
Auckland City,1/07/2014,0,2660,6.165413534,2014,829,-2.171290712,1004.666667,989,1033,1000,4.666666667,0.466666667,5.3,0
Auckland City,1/08/2014,0,2824,6.165413534,2014,829,-2.171290712,1004.666667,989,1033,1004.666667,0,0,5.3,0
Auckland City,1/09/2014,0,2971,5.205382436,2014,829,-2.171290712,1004.666667,989,1033,1004.666667,0,0,5.3,0
Auckland City,1/10/2014,0,2779,-6.462470549,2014,829,-2.171290712,1004,972,1058,1004.666667,-0.666666667,-0.066357001,5.3,0
Auckland City,1/11/2014,0,2900,4.354084203,2014,829,-2.171290712,1004,972,1058,1004,0,0,5.3,0
Auckland City,1/12/2014,0,2980,2.75862069,2014,829,-2.171290712,1004,972,1058,1004,0,0,5.5,3.773584906
Auckland City,1/01/2015,0,2865,-3.859060403,2015,811,-2.171290712,1010.166667,933,1089,1004,6.166666667,0.614209827,5.5,0
Auckland City,1/02/2015,0,2910,1.570680628,2015,811,-2.171290712,1010.166667,933,1089,1010.166667,0,0,5.5,0
Auckland City,1/03/2015,0,3418,17.45704467,2015,811,-2.171290712,1010.166667,933,1089,1010.166667,0,0,5.5,0
Auckland City,1/04/2015,0,3144,-8.01638385,2015,811,-2.171290712,1014.833333,955,1117,1010.166667,4.666666667,0.461969972,5.5,0
Auckland City,1/05/2015,0,3205,1.940203562,2015,811,-2.171290712,1014.833333,955,1117,1014.833333,0,0,5.5,0
Auckland City,1/06/2015,0,2937,-8.361934477,2015,811,-2.171290712,1014.833333,955,1117,1014.833333,0,0,5.5,0
Auckland City,1/07/2015,0,2895,-1.430030644,2015,811,-2.171290712,1016.583333,931,1133,1014.833333,1.75,0.172442109,5.5,0
Auckland City,1/08/2015,0,2923,0.967184801,2015,811,-2.171290712,1016.583333,931,1133,1016.583333,0,0,5.5,0
Auckland City,1/09/2015,0,2677,-8.416010948,2015,811,-2.171290712,1016.583333,931,1133,1016.583333,0,0,5.7,3.636363636
Auckland City,1/10/2015,0,2597,-2.988419873,2015,811,-2.171290712,1012.75,915,1138,1016.583333,-3.833333333,-0.377080089,5.7,0
Auckland City,1/11/2015,0,3027,16.55756642,2015,811,-2.171290712,1012.75,915,1138,1012.75,0,0,5.7,0
Auckland City,1/12/2015,0,2928,-3.270564916,2015,811,-2.171290712,1012.75,915,1138,1012.75,0,0,5,-12.28070175
Auckland City,1/01/2016,0,2823,-3.586065574,2016,845,4.192355117,1015,880,1100,1012.75,2.25,0.222167366,5,0
Auckland City,1/02/2016,0,2776,-1.664895501,2016,845,4.192355117,1015,880,1100,1015,0,0,5,0
Auckland City,1/03/2016,0,3050,9.870317003,2016,845,4.192355117,1015,880,1100,1015,0,0,5.3,6
Auckland City,1/04/2016,0,2733,-10.39344262,2016,845,4.192355117,1017.25,893,1096,1015,2.25,0.221674877,5.3,0
Auckland City,1/05/2016,0,2837,3.805342115,2016,845,4.192355117,1017.25,893,1096,1017.25,0,0,5.3,0
Auckland City,1/06/2016,0,2711,-4.441311244,2016,845,4.192355117,1017.25,893,1096,1017.25,0,0,5.1,-3.773584906
Auckland City,1/07/2016,0,3002,10.73404648,2016,845,4.192355117,1021.166667,872,1115,1017.25,3.916666667,0.385024986,5.1,0
Auckland City,1/08/2016,0,3049,1.565622918,2016,845,4.192355117,1021.166667,872,1115,1021.166667,0,0,5.1,0
Auckland City,1/09/2016,0,2454,-19.51459495,2016,845,4.192355117,1021.166667,872,1115,1021.166667,0,0,5,-1.960784314
Auckland City,1/10/2016,0,1800,-26.65036675,2016,845,4.192355117,1023.416667,902,1121,1021.166667,2.25,0.220336217,5,0
Auckland City,1/11/2016,0,1885,4.722222222,2016,845,4.192355117,1023.416667,902,1121,1023.416667,0,0,5,0
Auckland City,1/12/2016,0,2102,11.51193634,2016,845,4.192355117,1023.416667,902,1121,1023.416667,0,0,5.3,6
Auckland City,1/01/2017,0,2547,21.17031399,2017,805,-4.733727811,1031.25,911,1140,1023.416667,7.833333333,0.765409983,5.3,0
Auckland City,1/02/2017,0,2286,-10.24734982,2017,805,-4.733727811,1031.25,911,1140,1031.25,0,0,5.3,0
Auckland City,1/03/2017,0,2370,3.674540682,2017,805,-4.733727811,1031.25,911,1140,1031.25,0,0,4.9,-7.547169811
Auckland City,1/04/2017,0,2296,-3.122362869,2017,805,-4.733727811,1029.333333,901,1140,1031.25,-1.916666667,-0.185858586,4.9,0
Auckland City,1/05/2017,0,2426,5.662020906,2017,805,-4.733727811,1029.333333,901,1140,1029.333333,0,0,4.9,0
Auckland City,1/06/2017,0,2252,-7.172300082,2017,805,-4.733727811,1029.333333,901,1140,1029.333333,0,0,4.9,0
Auckland City,1/07/2017,0,2241,-0.488454707,2017,805,-4.733727811,1034.083333,888,1149,1029.333333,4.75,0.461463731,4.9,0
Auckland City,1/08/2017,0,2213,-1.249442213,2017,805,-4.733727811,1034.083333,888,1149,1034.083333,0,0,4.9,0
Auckland City,1/09/2017,0,2350,6.190691369,2017,805,-4.733727811,1034.083333,888,1149,1034.083333,0,0,4.7,-4.081632653
Auckland City,1/10/2017,0,2141,-8.893617021,2017,805,-4.733727811,1033.75,911,1142,1034.083333,-0.333333333,-0.032234668,4.7,0
Auckland City,1/11/2017,0,2172,1.447921532,2017,805,-4.733727811,1033.75,911,1142,1033.75,0,0,4.7,0
Auckland City,1/12/2017,0,2156,-0.73664825,2017,805,-4.733727811,1033.75,911,1142,1033.75,0,0,4.5,-4.255319149
Auckland City,1/01/2018,0,2386,10.66790353,2018,804,-0.124223602,1038.833333,912,1194,1033.75,5.083333333,0.491737203,4.5,0
Auckland City,1/02/2018,0,2171,-9.010896899,2018,804,-0.124223602,1038.833333,912,1194,1038.833333,0,0,4.5,0
Auckland City,1/03/2018,0,2251,3.684937817,2018,804,-0.124223602,1038.833333,912,1194,1038.833333,0,0,4.4,-2.222222222
Auckland City,1/04/2018,0,2092,-7.063527321,2018,804,-0.124223602,1041,899,1209,1038.833333,2.166666667,0.208567303,4.4,0
Auckland City,1/05/2018,0,2180,4.206500956,2018,804,-0.124223602,1041,899,1209,1041,0,0,4.4,0
Auckland City,1/06/2018,0,2233,2.431192661,2018,804,-0.124223602,1041,899,1209,1041,0,0,4.6,4.545454545
Auckland City,1/07/2018,0,2157,-3.403493059,2018,804,-0.124223602,1045.583333,887,1207,1041,4.583333333,0.44028178,4.6,0
Auckland City,1/08/2018,0,1833,-15.02086231,2018,804,-0.124223602,1045.583333,887,1207,1045.583333,0,0,4.6,0
Auckland City,1/09/2018,0,1823,-0.545553737,2018,804,-0.124223602,1045.583333,887,1207,1045.583333,0,0,4,-13.04347826
Auckland City,1/10/2018,0,2030,11.35490949,2018,804,-0.124223602,1045.5,891,1189,1045.583333,-0.083333333,-0.007970033,4,0
Auckland City,1/11/2018,0,1852,-8.768472906,2018,804,-0.124223602,1045.5,891,1189,1045.5,0,0,4,0
Auckland City,1/12/2018,0,2044,10.36717063,2018,804,-0.124223602,1045.5,891,1189,1045.5,0,0,4.3,7.5
Auckland City,1/01/2019,0,2757,34.88258317,2019,858,6.71641791,1047.5,893,1248,1045.5,2,0.191296031,4.3,0
Auckland City,1/02/2019,0,1922,-30.28654334,2019,858,6.71641791,1047.5,893,1248,1047.5,0,0,4.3,0
